termo,frequencia,musicas
corda,1,"Até Amanhã, Brincando Com a Vida, Pequeno Perfil de Um Cidadão Comum"
bamba,1,Brincando Com a Vida
bang,2,"Brincando Com a Vida, Como Se Fosse Pecado"
clic,1,Brincando Com a Vida
gatilho,1,Brincando Com a Vida
calma,4,"Brincando Com a Vida, Objeto Direto, Seixo Rolado"
prefiro,5,"Brincando Com a Vida, Comentários a Respeito de John, Lamento do Marginal Bem Sucedido"
brilho,3,"Brincando Com a Vida, Notícia de Terra Civilizada"
preço,2,"Brincando Com a Vida, Rock Romance de Um Robô Goliardo"
brotinho,1,Brotinho de Bambu
bambú,1,Brotinho de Bambu
delicadeza,1,Brotinho de Bambu
rosal,1,Brotinho de Bambu
leque,1,Brotinho de Bambu
chá,1,Brotinho de Bambu
china,2,"Brotinho de Bambu, Os Profissionais"
hai-cai,1,Brotinho de Bambu
és,1,"Balada de Madame Frigidaire, Brotinho de Bambu, Conheço o Meu Lugar, Fotografia 3X4, Monólogo das Grandezas do Brasil, Não Leve Flores"
moça,4,"Beijo Molhado, Brotinho de Bambu, Canção de Gesta de Um Trovador Eletrônico, Depois Das Seis, Do Mar, do Céu, do Campo, Kitsch Metropolitanus, Medo de Avião, Nada Como Viver, Rock Romance de Um Robô Goliardo, Voz da América"
fina,4,"Balada de Madame Frigidaire, Brotinho de Bambu, Kitsch Metropolitanus, Populus, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
massa,1,"Brotinho de Bambu, Monólogo das Grandezas do Brasil, Rock Romance de Um Robô Goliardo, S.A., Seixo Rolado"
porcelana,1,Brotinho de Bambu
rã,1,"Brotinho de Bambu, Como Se Fosse Pecado, Conheço o Meu Lugar, Dandy, Depois Das Seis, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), Kitsch Metropolitanus, Nada Como Viver, Os Derradeiros Moicanos, Os Profissionais, Pequeno Mapa do Tempo, Populus, Princesa do Meu Lugar"
xé,1,Brotinho de Bambu
ié,2,Brotinho de Bambu
clara,1,"Brotinho de Bambu, Caso Comum de Trânsito"
caligrafia,1,Brotinho de Bambu
lê,1,"Alucinação, Balada do Amor, Brotinho de Bambu, Carisma, Clamor No Deserto, Do Mar, do Céu, do Campo, Extra Cool, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Objeto Direto, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido, Seixo Rolado"
alegria,9,"Brotinho de Bambu, Clamor No Deserto, Coração Selvagem, Fotografia 3X4, Monólogo das Grandezas do Brasil, Nada Como Viver, Paraíso (1982), Retórica Sentimental"
encanto,1,Brotinho de Bambu
verso,1,"Balada do Amor, Brotinho de Bambu, Caso Comum de Trânsito"
energia,1,Brotinho de Bambu
dê,3,"Brotinho de Bambu, Extra Cool, Lamento do Marginal Bem Sucedido, Não Leve Flores, Se Você Tivesse Aparecido"
primazia,1,Brotinho de Bambu
sê,1,"Brotinho de Bambu, Num País Feliz, Seixo Rolado"
alto,5,"Canção de Gesta de Um Trovador Eletrônico, E Que Tudo Mais Vá Para o Céu, Ondas Tropicais, Rock Romance de Um Robô Goliardo, Voz da América"
falante,3,"Canção de Gesta de Um Trovador Eletrônico, Ondas Tropicais, Rock Romance de Um Robô Goliardo, Voz da América"
rolava,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
dava,2,"Canção de Gesta de Um Trovador Eletrônico, Pequeno Perfil de Um Cidadão Comum, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
chuck,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
berry,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
berrando,3,"Canção de Gesta de Um Trovador Eletrônico, Depois Das Seis, Rock Romance de Um Robô Goliardo"
guitarra,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
choque,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
cometas,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
halley,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
passando,3,"Canção de Gesta de Um Trovador Eletrônico, Do Mar, do Céu, do Campo, Rock Romance de Um Robô Goliardo"
astros,4,"Canção de Gesta de Um Trovador Eletrônico, Espacial, Rock Romance de Um Robô Goliardo"
pó,4,"Amor de Perdição, Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Onde Jazz Meu Coração?, Os Profissionais, Rock Romance de Um Robô Goliardo"
woodstock,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
cabeças,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
pedras,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
rolantes,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
jim,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
jimi,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
john,4,"Canção de Gesta de Um Trovador Eletrônico, Comentários a Respeito de John, Rock Romance de Um Robô Goliardo"
janis,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
joplin,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
moçada,5,"Canção de Gesta de Um Trovador Eletrônico, Depois Das Seis, Kitsch Metropolitanus, Rock Romance de Um Robô Goliardo"
subúrbio,3,"Canção de Gesta de Um Trovador Eletrônico, Em Resposta à Carta de Fã, Rock Romance de Um Robô Goliardo"
topetes,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
motos,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
tirana,3,"Canção de Gesta de Um Trovador Eletrônico, Fotografia 3X4, Rock Romance de Um Robô Goliardo"
dom,6,"Balada de Madame Frigidaire, Canção de Gesta de Um Trovador Eletrônico, Como Se Fosse Pecado, Em Resposta à Carta de Fã, No Maior Jazz, Objeto Direto, Os Derradeiros Moicanos, Rock Romance de Um Robô Goliardo, Tambor Tantã"
transas,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
olhando,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
cheia,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
fúria,6,"Canção de Gesta de Um Trovador Eletrônico, Coração Selvagem, Elegia Obscena, Rock Romance de Um Robô Goliardo, Viva La Dolcezza, Voz da América"
querendo,4,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo, Ypê"
laser,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
droga,4,"Canção de Gesta de Um Trovador Eletrônico, Lamento do Marginal Bem Sucedido, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido"
tom,5,"Balada de Madame Frigidaire, Beijo Molhado, Canção de Gesta de Um Trovador Eletrônico, Comentários a Respeito de John, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, E Que Tudo Mais Vá Para o Céu, Lamento do Marginal Bem Sucedido, Num País Feliz, Os Derradeiros Moicanos, Os Profissionais, Rock Romance de Um Robô Goliardo, Tambor Tantã, Todo Sujo de Batom"
milhões,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
habitantes,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
mulheres,4,"Canção de Gesta de Um Trovador Eletrônico, Jornal Blues (Canção Leve de Escárnio e Maldizer), Rock Romance de Um Robô Goliardo, Senhoras do Amazonas"
menores,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
filhos,3,"Canção de Gesta de Um Trovador Eletrônico, Lira dos Vinte Anos, Rock Romance de Um Robô Goliardo"
crise,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
geral,5,"Canção de Gesta de Um Trovador Eletrônico, Como Se Fosse Pecado, Depois Das Seis, Os Derradeiros Moicanos, Rock Romance de Um Robô Goliardo"
iguais,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
bomba,4,"Canção de Gesta de Um Trovador Eletrônico, Cuidar do Homem, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
quintal,4,"Canção de Gesta de Um Trovador Eletrônico, Depois Das Seis, Divina Comédia Humana, Rock Romance de Um Robô Goliardo"
ídolo,2,"Canção de Gesta de Um Trovador Eletrônico, Como Nossos Pais, Rock Romance de Um Robô Goliardo"
esgotos,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
urbana,2,"Beijo Molhado, Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
sucesso,5,"Canção de Gesta de Um Trovador Eletrônico, Dandy, Jornal Blues (Canção Leve de Escárnio e Maldizer), Recitanda, Rock Romance de Um Robô Goliardo"
saber,7,"Canção de Gesta de Um Trovador Eletrônico, Coração Selvagem, Elegia Obscena, Não Leve Flores, Os Profissionais, Rock Romance de Um Robô Goliardo, Senhoras do Amazonas"
disso,3,"Canção de Gesta de Um Trovador Eletrônico, Fotografia 3X4, Rock Romance de Um Robô Goliardo"
bater,2,"Canção de Gesta de Um Trovador Eletrônico, Rock Romance de Um Robô Goliardo"
deu,7,"Amor de Perdição, Arte Final, Ate Mais Ver, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bossa Em Palavrões, Brincando Com a Vida, Canção de Gesta de Um Trovador Eletrônico, Carisma, Como Nossos Pais, Conheço o Meu Lugar, Coração Selvagem, De Primeira Grandeza, Elegia Obscena, Extra Cool, Galos, Noites e Quintais, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Monólogo das Grandezas do Brasil, Notícia de Terra Civilizada, Paraíso (1982), Pequeno Perfil de Um Cidadão Comum, Ploft, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Senhoras do Amazonas, Sujeito de Sorte, Tocando Por Música, Viva La Dolcezza"
importante,1,"Apenas Um Rapaz Latino Americano, Carisma"
espanta,1,"Aguapé, Carisma"
agouro,1,Carisma
silêncio,2,"Carisma, Clamor No Deserto"
literalmente,1,Carisma
chão,4,"Carisma, Do Mar, do Céu, do Campo, Lamento do Marginal Bem Sucedido, Populus"
fácil,4,"Caso Comum de Trânsito, Em Resposta à Carta de Fã, Medo de Avião"
claro-fácil,1,Caso Comum de Trânsito
claramente,1,Caso Comum de Trânsito
acontecem,1,Caso Comum de Trânsito
fica,3,"Amor de Perdição, Baihuno, Balada de Madame Frigidaire, Caso Comum de Trânsito, Como Nossos Pais, Como Se Fosse Pecado, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Medo de Avião, Ondas Tropicais, Paraíso, Sensual"
perdendo,1,Caso Comum de Trânsito
pretendendo,1,Caso Comum de Trânsito
dono,3,"Caso Comum de Trânsito, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), Onde Jazz Meu Coração?, Se Você Tivesse Aparecido, Sensual"
acontecendo,1,Caso Comum de Trânsito
surpresa,1,Caso Comum de Trânsito
caindo,1,Caso Comum de Trânsito
pedra,6,"Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Do Mar, do Céu, do Campo, Lira dos Vinte Anos, Objeto Direto, Rock Romance de Um Robô Goliardo, Ypê"
povo,4,"Caso Comum de Trânsito, Onde Jazz Meu Coração?, Ploft, Voz da América"
mestre,2,"Caso Comum de Trânsito, Lamento do Marginal Bem Sucedido"
joaquim,1,Caso Comum de Trânsito
pergunta,2,"A Palo Seco, Baihuno, Caso Comum de Trânsito, Como Nossos Pais"
menino,1,"Baihuno, Caso Comum de Trânsito, Lamento do Marginal Bem Sucedido"
respondo,2,"Caso Comum de Trânsito, Em Resposta à Carta de Fã"
voltou,1,Caso Comum de Trânsito
ficou,9,"Caso Comum de Trânsito, Fotografia 3X4, Medo de Avião"
arranjou,3,"Caso Comum de Trânsito, Tudo Outra Vez"
emprego,2,"Caso Comum de Trânsito, Monólogo das Grandezas do Brasil"
atropelado,1,Caso Comum de Trânsito
voltando,3,"Caso Comum de Trânsito, Princesa do Meu Lugar"
caso,3,"Amor de Perdição, Caso Comum de Trânsito, Fotografia 3X4, Recitanda"
trânsito,3,Caso Comum de Trânsito
geografia,2,"Caso Comum de Trânsito, Paraíso"
jovem,9,"Caso Comum de Trânsito, Como Nossos Pais, Coração Selvagem, Fotografia 3X4, Não Leve Flores, Os Profissionais, Rock Romance de Um Robô Goliardo"
procurei,1,Caso Comum de Trânsito
passagem,1,Caso Comum de Trânsito
avião,5,"Caso Comum de Trânsito, Medo de Avião, Pequeno Mapa do Tempo"
navio,1,Caso Comum de Trânsito
praquele,1,Caso Comum de Trânsito
poeta,7,"Caso Comum de Trânsito, De Primeira Grandeza, E Que Tudo Mais Vá Para o Céu, Em Resposta à Carta de Fã, Jornal Blues (Canção Leve de Escárnio e Maldizer), Ploft, Retórica Sentimental, Senhoras do Amazonas"
latino,1,"Apenas Um Rapaz Latino Americano, Arte Final, Caso Comum de Trânsito, Extra Cool, Ploft"
versos,1,Caso Comum de Trânsito
escreveu,1,Caso Comum de Trânsito
anda,9,"Alucinação, Baihuno, Beijo Molhado, Caso Comum de Trânsito, Comentários a Respeito de John, Como Se Fosse Pecado, Coração Selvagem, E Que Tudo Mais Vá Para o Céu, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Lira dos Vinte Anos, Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Mucuripe, Onde Jazz Meu Coração?, Os Profissionais, Paralelas, Pequeno Mapa do Tempo, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Sujeito de Sorte, Voz da América"
viagem,3,"Caso Comum de Trânsito, Coração Selvagem, Rock Romance de Um Robô Goliardo"
desapareceu,1,Caso Comum de Trânsito
deita,1,"Caso Comum de Trânsito, Elegia Obscena, Voz da América"
lado,11,"Balada de Madame Frigidaire, Caso Comum de Trânsito, Comentários a Respeito de John, Coração Selvagem, Divina Comédia Humana, E Que Tudo Mais Vá Para o Céu, Não Leve Flores, Recitanda, Seixo Rolado, Sujeito de Sorte, Tudo Outra Vez, Voz da América"
vêm,3,"Caso Comum de Trânsito, Kitsch Metropolitanus, Rock Romance de Um Robô Goliardo"
buscar-me,1,Caso Comum de Trânsito
aberta,2,"Caso Comum de Trânsito, Na Hora do Almoço"
prova,2,"Amor e Crime, Caso Comum de Trânsito, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lira dos Vinte Anos"
certa,1,Caso Comum de Trânsito
amanheceu,3,Caso Comum de Trânsito
momento,2,Clamor No Deserto
chegar,3,"Clamor No Deserto, Lira dos Vinte Anos, Quinhentos Anos de Quê?"
difícil,4,"Clamor No Deserto, Em Resposta à Carta de Fã, Não Leve Flores"
começar,2,Clamor No Deserto
tentar,4,"Clamor No Deserto, Conheço o Meu Lugar, Voz da América"
garota,3,"Alucinação, Canção de Gesta de Um Trovador Eletrônico, Clamor No Deserto, Não Leve Flores, Rock Romance de Um Robô Goliardo"
compreende,3,"Clamor No Deserto, Coração Selvagem, Medo de Avião"
desse,4,"Clamor No Deserto, Divina Comédia Humana, Onde Jazz Meu Coração?, Ploft, Rock Romance de Um Robô Goliardo, Todo Sujo de Batom"
apresso,1,Clamor No Deserto
fala,7,"A Palo Seco, Amor de Perdição, Bossa Em Palavrões, Canção de Gesta de Um Trovador Eletrônico, Caso Comum de Trânsito, Clamor No Deserto, Como Nossos Pais, Coração Selvagem, Em Resposta à Carta de Fã, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Meu Nome é Cem, Na Hora do Almoço, Não Leve Flores, Ondas Tropicais, Pequeno Perfil de Um Cidadão Comum, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, Todo Sujo de Batom, Tudo Outra Vez, Voz da América"
lido,2,"Clamor No Deserto, Notícia de Terra Civilizada"
corrido,2,"Clamor No Deserto, Notícia de Terra Civilizada"
conhece,1,"Clamor No Deserto, Populus"
pede,1,Clamor No Deserto
apesar,6,"Clamor No Deserto, Como Nossos Pais, Sujeito de Sorte"
cantei,3,"Clamor No Deserto, Depois Das Seis, Meu Nome é Cem"
morrer,7,"Clamor No Deserto, Coração Selvagem, Jornal Blues (Canção Leve de Escárnio e Maldizer), Os Profissionais, Rock Romance de Um Robô Goliardo, S.A."
falo,3,"Clamor No Deserto, Como Se Fosse Pecado, E Que Tudo Mais Vá Para o Céu, Meu Nome é Cem, Retórica Sentimental"
tira,3,"Aguapé, Amor e Crime, Apenas Um Rapaz Latino Americano, Canção de Gesta de Um Trovador Eletrônico, Clamor No Deserto, Espacial, Fotografia 3X4, Jornal Blues (Canção Leve de Escárnio e Maldizer), Rock Romance de Um Robô Goliardo, S.A., Tambor Tantã"
puxa,1,"Clamor No Deserto, Kitsch Metropolitanus"
talão,1,Clamor No Deserto
cheque,1,Clamor No Deserto
possivel,1,Clamor No Deserto
todas,1,Clamor No Deserto
nesse,2,"Clamor No Deserto, Coração Selvagem, Os Derradeiros Moicanos, Os Profissionais"
ganhou,1,Clamor No Deserto
falta,3,"Apenas Um Rapaz Latino Americano, Clamor No Deserto, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Monólogo das Grandezas do Brasil"
1-9-8-4,1,Clamor No Deserto
temia,1,Clamor No Deserto
chegou,3,"Clamor No Deserto, Dandy, Os Profissionais"
saia,4,"Comentários a Respeito de John, Extra Cool, Voz da América"
sozinho,4,"Comentários a Respeito de John, Tudo Outra Vez"
deixem,2,"Balada do Amor, Comentários a Respeito de John, Na Hora do Almoço"
decido,2,Comentários a Respeito de John
preciso,5,"Comentários a Respeito de John, Como Se Fosse Pecado, Onde Jazz Meu Coração?, Paraíso"
digam,2,Comentários a Respeito de John
nasce,2,"Comentários a Respeito de John, Depois Das Seis, Espacial, Não Leve Flores"
bate,3,"Canção de Gesta de Um Trovador Eletrônico, Comentários a Respeito de John, Conheço o Meu Lugar, Rock Romance de Um Robô Goliardo, Tambor Tantã"
escrevo,1,Comentários a Respeito de John
letras,1,Comentários a Respeito de John
grandes,3,"Comentários a Respeito de John, Rock Romance de Um Robô Goliardo, Voz da América"
muros,1,Comentários a Respeito de John
joão,4,"Comentários a Respeito de John, Espacial, Ondas Tropicais"
andou,2,"Comentários a Respeito de John, Depois Das Seis, Em Resposta à Carta de Fã, Notícia de Terra Civilizada, Tudo Outra Vez"
mexendo,2,Comentários a Respeito de John
esqueço,2,Comentários a Respeito de John
felicidade,4,"Comentários a Respeito de John, Como Se Fosse Pecado"
quente,10,"Brincando Com a Vida, Comentários a Respeito de John, Como Se Fosse Pecado, Coração Selvagem, Meu Cordial Brasileiro"
cigarro,6,"Comentários a Respeito de John, Elegia Obscena, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Não Leve Flores, Recitanda"
cama,5,"Ate Mais Ver, Comentários a Respeito de John, Cuidar do Homem, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Retórica Sentimental, Voz da América"
rouge,3,"Comentários a Respeito de John, Extra Cool"
falar,8,"Como Nossos Pais, Coração Selvagem, Em Resposta à Carta de Fã, Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Meu Nome é Cem, Recitanda, Retórica Sentimental, Todo Sujo de Batom"
contar,6,"Como Nossos Pais, Espacial, Jornal Blues (Canção Leve de Escárnio e Maldizer), Paraíso, Quinhentos Anos de Quê?, Rock Romance de Um Robô Goliardo"
vivi,1,"Como Nossos Pais, La Vida Es Sueño, Pequeno Perfil de Um Cidadão Comum, Se Você Tivesse Aparecido, Todo Sujo de Batom"
aconteceu,4,"Como Nossos Pais, Lamento do Marginal Bem Sucedido, Não Leve Flores, Pequeno Mapa do Tempo"
sonhar,4,"Como Nossos Pais, Recitanda, Tambor Tantã"
menor,1,"Canção de Gesta de Um Trovador Eletrônico, Como Nossos Pais, Rock Romance de Um Robô Goliardo"
pessoa,5,"Alucinação, Apenas Um Rapaz Latino Americano, Como Nossos Pais, Conheço o Meu Lugar, Fotografia 3X4, Tudo Outra Vez"
cuidado,3,"Como Nossos Pais, Coração Selvagem, Elegia Obscena"
esquina,3,"Como Nossos Pais, Fotografia 3X4, Ploft"
venceram,1,Como Nossos Pais
sinal,2,"Ate Mais Ver, Como Nossos Pais, Seixo Rolado"
fechado,1,Como Nossos Pais
irmão,4,"Como Nossos Pais, Como Se Fosse Pecado, Onde Jazz Meu Coração?, Populus"
rua,13,"Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Fotografia 3X4, Lamento do Marginal Bem Sucedido, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Paralelas, Pequeno Perfil de Um Cidadão Comum, Rock Romance de Um Robô Goliardo, Tudo Outra Vez"
lábio,1,"Como Nossos Pais, Populus"
braço,1,"Aguapé, Baihuno, Como Nossos Pais, Espacial, Lira dos Vinte Anos, Paralelas, Voz da América"
encantado,3,"Como Nossos Pais, Mucuripe"
invenção,1,Como Nossos Pais
nesta,3,"Arte Final, Como Nossos Pais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Pequeno Perfil de Um Cidadão Comum, Se Você Tivesse Aparecido"
vento,8,"Balada de Madame Frigidaire, Como Nossos Pais, Mucuripe, Não Leve Flores, Recitanda, Seixo Rolado"
cheiro,2,"Aguapé, Como Nossos Pais, Recitanda"
sinto,6,"Beijo Molhado, Como Nossos Pais, Cuidar do Homem, Recitanda, Sujeito de Sorte"
ferida,2,"Como Nossos Pais, Recitanda"
viva,11,"Como Nossos Pais, Cuidar do Homem, Jornal Blues (Canção Leve de Escárnio e Maldizer), Meu Cordial Brasileiro, Monólogo das Grandezas do Brasil, Os Profissionais, Recitanda, Viva La Dolcezza"
vi,3,"A Palo Seco, Aguapé, Alucinação, Amor de Perdição, Amor e Crime, Apenas Um Rapaz Latino Americano, Arte Final, Até Amanhã, Ate Mais Ver, Baihuno, Balada de Madame Frigidaire, Balada do Amor, Beijo Molhado, Bossa Em Palavrões, Brincando Com a Vida, Carisma, Caso Comum de Trânsito, Comentários a Respeito de John, Como Nossos Pais, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Corpos Terrestres, Cuidar do Homem, Dandy, De Primeira Grandeza, Depois Das Seis, Divina Comédia Humana, Do Mar, do Céu, do Campo, E Que Tudo Mais Vá Para o Céu, Elegia Obscena, Em Resposta à Carta de Fã, Espacial, Extra Cool, Fotografia 3X4, Galos, Noites e Quintais, Humano Hum, Jornal Blues (Canção Leve de Escárnio e Maldizer), La Vida Es Sueño, Lamento do Marginal Bem Sucedido, Medo de Avião, Meu Cordial Brasileiro, Meu Nome é Cem, Monólogo das Grandezas do Brasil, Mote e Glosa, Mucuripe, Na Hora do Almoço, Nada Como Viver, Não Leve Flores, No Maior Jazz, Notícia de Terra Civilizada, Num País Feliz, Objeto Direto, Ondas Tropicais, Onde Jazz Meu Coração?, Os Derradeiros Moicanos, Os Profissionais, Paraíso, Paraíso (1982), Paralelas, Pequeno Mapa do Tempo, Pequeno Perfil de Um Cidadão Comum, Ploft, Populus, Princesa do Meu Lugar, Quinhentos Anos de Quê?, Recitanda, Retórica Sentimental, Rock Romance de Um Robô Goliardo, S.A., Se Você Tivesse Aparecido, Seixo Rolado, Senhoras do Amazonas, Tambor Tantã, Todo Sujo de Batom, Tudo Outra Vez, Viva La Dolcezza, Voz da América, Ypê"
reunida,1,Como Nossos Pais
parede,1,"Como Nossos Pais, Como Se Fosse Pecado"
lembrança,1,Como Nossos Pais
quadro,1,"Como Nossos Pais, Senhoras do Amazonas"
dói,3,"Como Nossos Pais, E Que Tudo Mais Vá Para o Céu, Voz da América"
perceber,2,Como Nossos Pais
termos,2,Como Nossos Pais
fizemos,3,"Como Nossos Pais, Não Leve Flores"
mesmos,6,Como Nossos Pais
vivemos,6,"Como Nossos Pais, Espacial"
pais,4,"Como Nossos Pais, Jornal Blues (Canção Leve de Escárnio e Maldizer), Ondas Tropicais, Os Profissionais"
ídolos,1,Como Nossos Pais
aparências,2,Como Nossos Pais
enganam,1,Como Nossos Pais
apareceu,1,"Caso Comum de Trânsito, Como Nossos Pais"
enganando,1,Como Nossos Pais
ideia,1,Como Nossos Pais
consciência,1,Como Nossos Pais
guardado,1,Como Nossos Pais
contando,1,Como Nossos Pais
metais,1,Como Nossos Pais
claro,5,"Caso Comum de Trânsito, Como Se Fosse Pecado, Conheço o Meu Lugar, Meu Nome é Cem, Seixo Rolado"
clarão,2,"Como Se Fosse Pecado, Princesa do Meu Lugar"
branco,4,"Balada de Madame Frigidaire, Como Se Fosse Pecado, Mucuripe, Os Derradeiros Moicanos"
precisamos,1,Como Se Fosse Pecado
verdade,4,"Como Se Fosse Pecado, Lamento do Marginal Bem Sucedido, Objeto Direto, Ploft"
crua,2,"Como Se Fosse Pecado, Lamento do Marginal Bem Sucedido"
remendar,1,Como Se Fosse Pecado
vosso,1,"Como Se Fosse Pecado, Senhoras do Amazonas"
soneto,1,Como Se Fosse Pecado
batuco,1,Como Se Fosse Pecado
concreto,1,Como Se Fosse Pecado
balançar,1,Como Se Fosse Pecado
coreto,1,Como Se Fosse Pecado
enquanto,8,"Como Se Fosse Pecado, Cuidar do Homem, Divina Comédia Humana, Elegia Obscena, Lamento do Marginal Bem Sucedido"
quatro,1,Como Se Fosse Pecado
paredes,1,Como Se Fosse Pecado
pecado,4,"Como Se Fosse Pecado, Jornal Blues (Canção Leve de Escárnio e Maldizer), Lamento do Marginal Bem Sucedido, Meu Cordial Brasileiro, Objeto Direto"
mortal,1,Como Se Fosse Pecado
segredo,5,"Como Se Fosse Pecado, Na Hora do Almoço, Não Leve Flores, Pequeno Mapa do Tempo, Populus"
fundo,3,"Balada de Madame Frigidaire, Como Se Fosse Pecado, Na Hora do Almoço, Tambor Tantã"
redes,1,Como Se Fosse Pecado
tecendo,1,"Caso Comum de Trânsito, Como Se Fosse Pecado"
crucificado,1,Como Se Fosse Pecado
varado,1,Como Se Fosse Pecado
lança,1,"Como Se Fosse Pecado, Lamento do Marginal Bem Sucedido, Tambor Tantã"
cansa,1,"Balada de Madame Frigidaire, Como Se Fosse Pecado, Depois Das Seis, Espacial, Fotografia 3X4, Sensual, Tocando Por Música, Todo Sujo de Batom"
neste,4,"Como Se Fosse Pecado, Conheço o Meu Lugar, Monólogo das Grandezas do Brasil, Os Profissionais"
bar,2,"Aguapé, Amor e Crime, Arte Final, Baihuno, Balada de Madame Frigidaire, Como Se Fosse Pecado, Conheço o Meu Lugar, Coração Selvagem, Cuidar do Homem, Dandy, E Que Tudo Mais Vá Para o Céu, Fotografia 3X4, Ondas Tropicais, Os Derradeiros Moicanos, Pequeno Perfil de Um Cidadão Comum, Rock Romance de Um Robô Goliardo, Se Você Tivesse Aparecido, Tambor Tantã, Tudo Outra Vez, Viva La Dolcezza"
oeste-nodeste-sul,1,Como Se Fosse Pecado
cifrado,1,Como Se Fosse Pecado
hello,1,Como Se Fosse Pecado
fugir,3,"Como Se Fosse Pecado, Princesa do Meu Lugar, Senhoras do Amazonas"
